════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:20:05
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20118588 | Ana Laura Díaz Hernández            | Contaduría Pública        | Femenino   | Sem: 8 | Rayando-Ando
  A20101182 | Gabriela Fernanda Martínez Reyes    | Administración de Empresas | Femenino   | Sem: 3 | Rayando-Ando
  A20218170 | Gabriela Fernanda Ruiz Gutiérrez    | Contaduría Pública        | Femenino   | Sem: 6 | Rayando-Ando
  A20156845 | Isabel Fernanda González Rivera     | Psicología                | Femenino   | Sem: 10 | Rayando-Ando
  A20162654 | Isabel Fernanda Morales Morales     | Diseño Gráfico            | Femenino   | Sem: 1 | Rayando-Ando
  A20219329 | Isabel Fernanda Ramírez Torres      | Contaduría Pública        | Femenino   | Sem: 7 | Rayando-Ando
  A20219390 | Jorge Alberto Castillo Jiménez      | Psicología                | Masculino  | Sem: 8 | Rayando-Ando
  A20072400 | Jorge Alberto Díaz Flores           | Contaduría Pública        | Masculino  | Sem: 4 | Rayando-Ando
  A20121197 | Jorge Alberto Gómez Torres          | Diseño Gráfico            | Masculino  | Sem: 10 | Rayando-Ando
  A20176495 | Jorge Alberto Ramírez López         | Ingeniería Mecatrónica    | Masculino  | Sem: 7 | Rayando-Ando
  A20089839 | José Antonio Ramírez Álvarez        | Ingeniería Civil          | Masculino  | Sem: 2 | Rayando-Ando
  A20120074 | José Antonio Rivera Díaz            | Ingeniería Civil          | Masculino  | Sem: 8 | Rayando-Ando
  A20093842 | Juan Carlos Castillo Álvarez        | Ingeniería Mecatrónica    | Masculino  | Sem: 10 | Rayando-Ando
  A20114756 | Juan Carlos González Rodríguez      | Ingeniería Industrial     | Masculino  | Sem: 7 | Rayando-Ando
  A20047165 | Juan Carlos Torres González         | Psicología                | Masculino  | Sem: 3 | Rayando-Ando
  A20111160 | Laura Patricia Cruz Ruiz            | Contaduría Pública        | Femenino   | Sem: 4 | Rayando-Ando
  A20010454 | Laura Patricia Reyes Pérez          | Ingeniería Mecatrónica    | Femenino   | Sem: 2 | Rayando-Ando
  A20179181 | Luis Miguel Cruz Reyes              | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Rayando-Ando
  A20139781 | Luis Miguel Torres Flores           | Ingeniería Civil          | Masculino  | Sem: 1 | Rayando-Ando
  A20007107 | María Elena Álvarez Torres          | Arquitectura              | Femenino   | Sem: 8 | Rayando-Ando
  A20148198 | María Elena Jiménez Pérez           | Ingeniería Civil          | Femenino   | Sem: 7 | Rayando-Ando
  A20047014 | María Elena Morales Ruiz            | Psicología                | Femenino   | Sem: 9 | Rayando-Ando
  A20118692 | María Elena Ortiz Pérez             | Contaduría Pública        | Femenino   | Sem: 10 | Rayando-Ando
  A20111848 | Miguel Ángel Jiménez Pérez          | Psicología                | Masculino  | Sem: 2 | Rayando-Ando
  A20211957 | Miguel Ángel López Castillo         | Arquitectura              | Masculino  | Sem: 6 | Rayando-Ando
  A20077673 | Miguel Ángel Morales Rodríguez      | Derecho                   | Masculino  | Sem: 1 | Rayando-Ando
  A20091983 | Miguel Ángel Rivera Ramírez         | Ingeniería Mecatrónica    | Masculino  | Sem: 8 | Rayando-Ando
  A20110132 | Óscar David García Sánchez          | Administración de Empresas | Masculino  | Sem: 10 | Rayando-Ando
  A20233047 | Óscar David Gómez Reyes             | Ingeniería Civil          | Masculino  | Sem: 7 | Rayando-Ando
  A20178947 | Óscar David López Ruiz              | Diseño Gráfico            | Masculino  | Sem: 9 | Rayando-Ando
  A20246304 | Óscar David Rivera Mendoza          | Ingeniería Industrial     | Masculino  | Sem: 1 | Rayando-Ando
  A20047378 | Óscar David Torres Gómez            | Ingeniería Industrial     | Masculino  | Sem: 1 | Rayando-Ando
  A20188300 | Patricia Isabel López González      | Administración de Empresas | Femenino   | Sem: 1 | Rayando-Ando
  A20057036 | Patricia Isabel López Mendoza       | Ingeniería Industrial     | Femenino   | Sem: 7 | Rayando-Ando
  A20051836 | Patricia Isabel Rivera García       | Ingeniería Civil          | Femenino   | Sem: 7 | Rayando-Ando
  A20170564 | Patricia Isabel Ruiz Jiménez        | Ingeniería Civil          | Femenino   | Sem: 5 | Rayando-Ando
  A20097024 | Pedro Luis Jiménez Pérez            | Contaduría Pública        | Masculino  | Sem: 4 | Rayando-Ando
  A20140013 | Pedro Luis Jiménez Ruiz             | Ingeniería Industrial     | Masculino  | Sem: 6 | Rayando-Ando
  A20175273 | Pedro Luis López García             | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Rayando-Ando
  A20165893 | Pedro Luis López Ramírez            | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 8 | Rayando-Ando
  A20120303 | Pedro Luis Morales Flores           | Diseño Gráfico            | Masculino  | Sem: 9 | Rayando-Ando
  A20107829 | Pedro Luis Ortiz Pérez              | Ingeniería Mecatrónica    | Masculino  | Sem: 5 | Rayando-Ando
  A20195667 | Pedro Luis Pérez Ruiz               | Contaduría Pública        | Masculino  | Sem: 4 | Rayando-Ando
  A20148132 | Pedro Luis Ramírez Reyes            | Ingeniería Industrial     | Masculino  | Sem: 8 | Rayando-Ando
  A20152298 | Pedro Luis Rivera Martínez          | Ingeniería Industrial     | Masculino  | Sem: 4 | Rayando-Ando
  A20189599 | Ricardo Iván Cruz Ortiz             | Contaduría Pública        | Masculino  | Sem: 5 | Rayando-Ando
  A20147504 | Ricardo Iván Gómez Jiménez          | Contaduría Pública        | Masculino  | Sem: 9 | Rayando-Ando
  A20057312 | Ricardo Iván Hernández García       | Psicología                | Masculino  | Sem: 6 | Rayando-Ando
  A20160341 | Roberto Carlos Gómez López          | Ingeniería Mecatrónica    | Masculino  | Sem: 3 | Rayando-Ando
  A20142225 | Roberto Carlos Mendoza Morales      | Administración de Empresas | Masculino  | Sem: 3 | Rayando-Ando
  A20229219 | Roberto Carlos Sánchez Ramírez      | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 1 | Rayando-Ando
  A20083682 | Rosa María Cruz Hernández           | Ingeniería Industrial     | Femenino   | Sem: 4 | Rayando-Ando
  A20170130 | Rosa María García Rivera            | Diseño Gráfico            | Femenino   | Sem: 3 | Rayando-Ando
  A20190494 | Rosa María González Cruz            | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 6 | Rayando-Ando
  A20120607 | Rosa María Morales Hernández        | Arquitectura              | Femenino   | Sem: 7 | Rayando-Ando
  A20183427 | Rosa María Reyes García             | Administración de Empresas | Femenino   | Sem: 9 | Rayando-Ando
  A20084765 | Rosa María Rivera Martínez          | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 1 | Rayando-Ando
  A20056444 | Sofía Valentina García Ortiz        | Derecho                   | Femenino   | Sem: 5 | Rayando-Ando
  A20125805 | Sofía Valentina González Gómez      | Ingeniería Industrial     | Femenino   | Sem: 7 | Rayando-Ando
  A20033861 | Sofía Valentina Sánchez Flores      | Administración de Empresas | Femenino   | Sem: 6 | Rayando-Ando
  A20041665 | Valentina Andrea Flores Rivera      | Administración de Empresas | Femenino   | Sem: 6 | Rayando-Ando
  A20186540 | Valentina Andrea Gómez Ramírez      | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Rayando-Ando
  A20099677 | Valentina Andrea Morales Hernández  | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 6 | Rayando-Ando
  A20189336 | Valentina Andrea Ruiz Jiménez       | Contaduría Pública        | Femenino   | Sem: 6 | Rayando-Ando

▼ GEEK-INTROVERTIDO - 230/230 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20155508 | Ana Laura Flores Gutiérrez          | Ingeniería Mecatrónica    | Femenino   | Sem: 8 | Geek-Introvertido
  A20115164 | Ana Laura Flores López              | Psicología                | Femenino   | Sem: 9 | Geek-Introvertido
  A20117357 | Ana Laura Martínez Pérez            | Ingeniería Civil          | Femenino   | Sem: 6 | Geek-Introvertido
  A20126470 | Ana Laura Mendoza Díaz              | Administración de Empresas | Femenino   | Sem: 10 | Geek-Introvertido
  A20097659 | Ana Laura Mendoza Jiménez           | Derecho                   | Femenino   | Sem: 8 | Geek-Introvertido
  A20177076 | Ana Laura Pérez Hernández           | Ingeniería Mecatrónica    | Femenino   | Sem: 9 | Geek-Introvertido
  A20123584 | Ana Laura Pérez Reyes               | Contaduría Pública        | Femenino   | Sem: 9 | Geek-Introvertido
  A20113469 | Ana Laura Pérez Sánchez             | Administración de Empresas | Femenino   | Sem: 10 | Geek-Introvertido
  A20045293 | Ana Laura Ramírez Hernández         | Ingeniería Civil          | Femenino   | Sem: 10 | Geek-Introvertido
  A20040186 | Ana Laura Ruiz Morales              | Ingeniería Civil          | Femenino   | Sem: 5 | Geek-Introvertido
  A20095044 | Andrea Carolina Álvarez Flores      | Contaduría Pública        | Femenino   | Sem: 4 | Geek-Introvertido
  A20174601 | Andrea Carolina Cruz Hernández      | Ingeniería Mecatrónica    | Femenino   | Sem: 9 | Geek-Introvertido
  A20224873 | Andrea Carolina Hernández Martínez  | Administración de Empresas | Femenino   | Sem: 3 | Geek-Introvertido
  A20017917 | Andrea Carolina Hernández Rodríguez | Arquitectura              | Femenino   | Sem: 1 | Geek-Introvertido
  A20065046 | Andrea Carolina López López         | Ingeniería Mecatrónica    | Femenino   | Sem: 10 | Geek-Introvertido
  A20236285 | Andrea Carolina Mendoza González    | Ingeniería Industrial     | Femenino   | Sem: 5 | Geek-Introvertido
  A20133627 | Andrea Carolina Ramírez Reyes       | Diseño Gráfico            | Femenino   | Sem: 7 | Geek-Introvertido
  A20188683 | Andrea Carolina Torres Reyes        | Diseño Gráfico            | Femenino   | Sem: 7 | Geek-Introvertido
  A20118362 | Andrea Carolina Torres Rivera       | Psicología                | Femenino   | Sem: 10 | Geek-Introvertido
  A20244802 | Arturo Ramón Álvarez Hernández      | Derecho                   | Masculino  | Sem: 5 | Geek-Introvertido
  A20117608 | Arturo Ramón Castillo Gómez         | Psicología                | Masculino  | Sem: 10 | Geek-Introvertido
  A20216985 | Arturo Ramón Flores Mendoza         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Geek-Introvertido
  A20223267 | Arturo Ramón Gutiérrez Rivera       | Derecho                   | Masculino  | Sem: 7 | Geek-Introvertido
  A20133852 | Arturo Ramón Morales Sánchez        | Derecho                   | Masculino  | Sem: 4 | Geek-Introvertido
  A20144440 | Carlos Alberto García Pérez         | Ingeniería Mecatrónica    | Masculino  | Sem: 3 | Geek-Introvertido
  A20068075 | Carlos Alberto Gómez Álvarez        | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 5 | Geek-Introvertido
  A20161964 | Carlos Alberto González Jiménez     | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20063394 | Carlos Alberto Gutiérrez Cruz       | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 4 | Geek-Introvertido
  A20163696 | Carlos Alberto Gutiérrez Ruiz       | Arquitectura              | Masculino  | Sem: 1 | Geek-Introvertido
  A20182710 | Carlos Alberto Gutiérrez Sánchez    | Contaduría Pública        | Masculino  | Sem: 9 | Geek-Introvertido
  A20217542 | Carlos Alberto Reyes Díaz           | Contaduría Pública        | Masculino  | Sem: 7 | Geek-Introvertido
  A20215756 | Carlos Alberto Rodríguez Díaz       | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20067441 | Carlos Alberto Sánchez Ramírez      | Arquitectura              | Masculino  | Sem: 2 | Geek-Introvertido
  A20033369 | Carmen Rosa Gutiérrez Gómez         | Contaduría Pública        | Femenino   | Sem: 9 | Geek-Introvertido
  A20187843 | Carmen Rosa Jiménez Morales         | Arquitectura              | Femenino   | Sem: 3 | Geek-Introvertido
  A20173947 | Carmen Rosa Morales Hernández       | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Geek-Introvertido
  A20033806 | Carmen Rosa Morales López           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 9 | Geek-Introvertido
  A20139471 | Carmen Rosa Ramírez Álvarez         | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 7 | Geek-Introvertido
  A20151583 | Carmen Rosa Torres Reyes            | Ingeniería Civil          | Femenino   | Sem: 6 | Geek-Introvertido
  A20080733 | Carolina Daniela González Ruiz      | Ingeniería Civil          | Femenino   | Sem: 4 | Geek-Introvertido
  A20190150 | Carolina Daniela Mendoza Morales    | Ingeniería Mecatrónica    | Femenino   | Sem: 8 | Geek-Introvertido
  A20080026 | Carolina Daniela Mendoza Rodríguez  | Ingeniería Industrial     | Femenino   | Sem: 5 | Geek-Introvertido
  A20079062 | Carolina Daniela Morales Álvarez    | Psicología                | Femenino   | Sem: 8 | Geek-Introvertido
  A20144874 | Carolina Daniela Torres Flores      | Derecho                   | Femenino   | Sem: 5 | Geek-Introvertido
  A20014820 | Daniel Alejandro Cruz González      | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20235266 | Daniel Alejandro Díaz Gómez         | Administración de Empresas | Masculino  | Sem: 8 | Geek-Introvertido
  A20175630 | Daniel Alejandro Martínez Ruiz      | Psicología                | Masculino  | Sem: 7 | Geek-Introvertido
  A20028712 | Daniel Alejandro Ortiz López        | Derecho                   | Masculino  | Sem: 3 | Geek-Introvertido
  A20157818 | Daniel Alejandro Pérez Gutiérrez    | Ingeniería Mecatrónica    | Masculino  | Sem: 2 | Geek-Introvertido
  A20119873 | Daniel Alejandro Ruiz García        | Diseño Gráfico            | Masculino  | Sem: 6 | Geek-Introvertido
  A20028685 | Daniela Gabriela Álvarez Castillo   | Derecho                   | Femenino   | Sem: 6 | Geek-Introvertido
  A20141716 | Daniela Gabriela Cruz González      | Ingeniería Civil          | Femenino   | Sem: 8 | Geek-Introvertido
  A20102998 | Daniela Gabriela Cruz Sánchez       | Derecho                   | Femenino   | Sem: 7 | Geek-Introvertido
  A20181281 | Daniela Gabriela Gutiérrez Martínez | Derecho                   | Femenino   | Sem: 4 | Geek-Introvertido
  A20036247 | Daniela Gabriela López Gutiérrez    | Diseño Gráfico            | Femenino   | Sem: 4 | Geek-Introvertido
  A20206324 | Daniela Gabriela López López        | Derecho                   | Femenino   | Sem: 4 | Geek-Introvertido
  A20130035 | Daniela Gabriela Martínez Ortiz     | Diseño Gráfico            | Femenino   | Sem: 6 | Geek-Introvertido
  A20072709 | Daniela Gabriela Morales Sánchez    | Derecho                   | Femenino   | Sem: 7 | Geek-Introvertido
  A20240437 | Daniela Gabriela Ortiz Álvarez      | Ingeniería Civil          | Femenino   | Sem: 9 | Geek-Introvertido
  A20003952 | Daniela Gabriela Ortiz Ramírez      | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 9 | Geek-Introvertido
  A20188519 | Daniela Gabriela Ramírez Hernández  | Ingeniería Industrial     | Femenino   | Sem: 9 | Geek-Introvertido
  A20123687 | Eduardo Manuel Castillo Pérez       | Psicología                | Masculino  | Sem: 3 | Geek-Introvertido
  A20232603 | Eduardo Manuel Gómez Mendoza        | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 2 | Geek-Introvertido
  A20196240 | Eduardo Manuel Gutiérrez Flores     | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Geek-Introvertido
  A20209139 | Eduardo Manuel Jiménez Castillo     | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 2 | Geek-Introvertido
  A20246614 | Eduardo Manuel Ramírez Hernández    | Ingeniería Mecatrónica    | Masculino  | Sem: 5 | Geek-Introvertido
  A20141491 | Eduardo Manuel Reyes Ruiz           | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Geek-Introvertido
  A20088297 | Eduardo Manuel Sánchez López        | Administración de Empresas | Masculino  | Sem: 10 | Geek-Introvertido
  A20133606 | Eduardo Manuel Torres López         | Arquitectura              | Masculino  | Sem: 8 | Geek-Introvertido
  A20139026 | Elena Sofía Álvarez Jiménez         | Diseño Gráfico            | Femenino   | Sem: 4 | Geek-Introvertido
  A20168636 | Elena Sofía Cruz Ortiz              | Psicología                | Femenino   | Sem: 3 | Geek-Introvertido
  A20168470 | Elena Sofía González Álvarez        | Administración de Empresas | Femenino   | Sem: 3 | Geek-Introvertido
  A20037852 | Elena Sofía Martínez Ruiz           | Psicología                | Femenino   | Sem: 3 | Geek-Introvertido
  A20006140 | Elena Sofía Rodríguez Reyes         | Administración de Empresas | Femenino   | Sem: 3 | Geek-Introvertido
  A20039587 | Elena Sofía Ruiz Gómez              | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Geek-Introvertido
  A20082358 | Elena Sofía Torres Martínez         | Administración de Empresas | Femenino   | Sem: 8 | Geek-Introvertido
  A20119028 | Fernanda Alejandra García Rivera    | Ingeniería Industrial     | Femenino   | Sem: 5 | Geek-Introvertido
  A20168725 | Fernanda Alejandra Martínez Jiménez | Ingeniería Industrial     | Femenino   | Sem: 6 | Geek-Introvertido
  A20180750 | Fernando José García Reyes          | Ingeniería Civil          | Masculino  | Sem: 7 | Geek-Introvertido
  A20075624 | Fernando José García Rivera         | Ingeniería Mecatrónica    | Masculino  | Sem: 7 | Geek-Introvertido
  A20170315 | Fernando José Gómez García          | Arquitectura              | Masculino  | Sem: 1 | Geek-Introvertido
  A20069423 | Fernando José Gómez Rivera          | Derecho                   | Masculino  | Sem: 10 | Geek-Introvertido
  A20066876 | Fernando José Gutiérrez Jiménez     | Administración de Empresas | Masculino  | Sem: 10 | Geek-Introvertido
  A20189139 | Fernando José Martínez Reyes        | Administración de Empresas | Masculino  | Sem: 5 | Geek-Introvertido
  A20239940 | Fernando José Ramírez Mendoza       | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 7 | Geek-Introvertido
  A20194397 | Fernando José Sánchez Ramírez       | Arquitectura              | Masculino  | Sem: 1 | Geek-Introvertido
  A20031572 | Francisco Javier Castillo López     | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20067903 | Francisco Javier Jiménez Sánchez    | Derecho                   | Masculino  | Sem: 5 | Geek-Introvertido
  A20040977 | Francisco Javier Ortiz Mendoza      | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20035161 | Francisco Javier Pérez Mendoza      | Ingeniería Industrial     | Masculino  | Sem: 10 | Geek-Introvertido
  A20158800 | Francisco Javier Reyes Jiménez      | Contaduría Pública        | Masculino  | Sem: 9 | Geek-Introvertido
  A20039304 | Francisco Javier Torres Cruz        | Ingeniería Civil          | Masculino  | Sem: 2 | Geek-Introvertido
  A20067299 | Gabriela Fernanda Gómez Díaz        | Arquitectura              | Femenino   | Sem: 10 | Geek-Introvertido
  A20110259 | Gabriela Fernanda Hernández Álvarez | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Geek-Introvertido
  A20201824 | Gabriela Fernanda López Gutiérrez   | Administración de Empresas | Femenino   | Sem: 2 | Geek-Introvertido
  A20224962 | Gabriela Fernanda López Martínez    | Derecho                   | Femenino   | Sem: 9 | Geek-Introvertido
  A20093224 | Gabriela Fernanda López Morales     | Arquitectura              | Femenino   | Sem: 8 | Geek-Introvertido
  A20177746 | Gabriela Fernanda Ramírez Jiménez   | Derecho                   | Femenino   | Sem: 9 | Geek-Introvertido
  A20029715 | Gabriela Fernanda Reyes Mendoza     | Administración de Empresas | Femenino   | Sem: 6 | Geek-Introvertido
  A20202696 | Gabriela Fernanda Ruiz Álvarez      | Arquitectura              | Femenino   | Sem: 6 | Geek-Introvertido
  A20001888 | Isabel Fernanda Álvarez Cruz        | Psicología                | Femenino   | Sem: 1 | Geek-Introvertido
  A20157132 | Isabel Fernanda Díaz García         | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Geek-Introvertido
  A20113494 | Isabel Fernanda García Jiménez      | Contaduría Pública        | Femenino   | Sem: 1 | Geek-Introvertido
  A20189801 | Isabel Fernanda Jiménez Cruz        | Ingeniería Civil          | Femenino   | Sem: 3 | Geek-Introvertido
  A20227594 | Isabel Fernanda Morales López       | Administración de Empresas | Femenino   | Sem: 3 | Geek-Introvertido
  A20164932 | Isabel Fernanda Pérez Ramírez       | Contaduría Pública        | Femenino   | Sem: 6 | Geek-Introvertido
  A20166097 | Isabel Fernanda Reyes Rivera        | Ingeniería Civil          | Femenino   | Sem: 3 | Geek-Introvertido
  A20211973 | Isabel Fernanda Reyes Torres        | Contaduría Pública        | Femenino   | Sem: 5 | Geek-Introvertido
  A20241486 | Isabel Fernanda Sánchez Gutiérrez   | Diseño Gráfico            | Femenino   | Sem: 1 | Geek-Introvertido
  A20089063 | Jorge Alberto Díaz Díaz             | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Geek-Introvertido
