════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:12:12
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20208528 | Ana Laura Díaz Jiménez              | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20245689 | Francisco Javier González Martínez  | Derecho                   | Masculino  | Sem: 6 | Rayando-Ando
  A20234879 | Gabriela Fernanda Álvarez Mendoza   | Ingeniería Civil          | Femenino   | Sem: 10 | Rayando-Ando
  A20136708 | Gabriela Fernanda Castillo García   | Administración de Empresas | Femenino   | Sem: 1 | Rayando-Ando
  A20162404 | Gabriela Fernanda Cruz Rodríguez    | Ingeniería Mecatrónica    | Femenino   | Sem: 1 | Rayando-Ando
  A20134609 | Gabriela Fernanda Hernández Torres  | Ingeniería Civil          | Femenino   | Sem: 6 | Rayando-Ando
  A20137202 | Gabriela Fernanda Morales González  | Administración de Empresas | Femenino   | Sem: 9 | Rayando-Ando
  A20244331 | Gabriela Fernanda Reyes Rivera      | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 5 | Rayando-Ando
  A20050702 | Gabriela Fernanda Sánchez Martínez  | Psicología                | Femenino   | Sem: 9 | Rayando-Ando
  A20113457 | Isabel Fernanda García Gómez        | Administración de Empresas | Femenino   | Sem: 4 | Rayando-Ando
  A20102489 | Isabel Fernanda Hernández Gutiérrez | Arquitectura              | Femenino   | Sem: 9 | Rayando-Ando
  A20096053 | Isabel Fernanda Hernández Rodríguez | Contaduría Pública        | Femenino   | Sem: 5 | Rayando-Ando
  A20112942 | Isabel Fernanda Morales Morales     | Ingeniería Civil          | Femenino   | Sem: 6 | Rayando-Ando
  A20130842 | Isabel Fernanda Reyes Rivera        | Ingeniería Civil          | Femenino   | Sem: 4 | Rayando-Ando
  A20112883 | Jorge Alberto Álvarez Sánchez       | Derecho                   | Masculino  | Sem: 5 | Rayando-Ando
  A20221622 | Jorge Alberto Flores Castillo       | Arquitectura              | Masculino  | Sem: 9 | Rayando-Ando
  A20118675 | Jorge Alberto Ortiz Rivera          | Arquitectura              | Masculino  | Sem: 6 | Rayando-Ando
  A20031121 | Jorge Alberto Reyes Flores          | Ingeniería Mecatrónica    | Masculino  | Sem: 3 | Rayando-Ando
  A20039195 | José Antonio Hernández Castillo     | Ingeniería Mecatrónica    | Masculino  | Sem: 3 | Rayando-Ando
  A20066585 | José Antonio Reyes Gutiérrez        | Ingeniería Civil          | Masculino  | Sem: 5 | Rayando-Ando
  A20190883 | José Antonio Ruiz Flores            | Contaduría Pública        | Masculino  | Sem: 1 | Rayando-Ando
  A20235187 | Juan Carlos García Martínez         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 8 | Rayando-Ando
  A20185783 | Juan Carlos Mendoza Ramírez         | Diseño Gráfico            | Masculino  | Sem: 1 | Rayando-Ando
  A20003615 | Juan Carlos Ramírez Mendoza         | Ingeniería Industrial     | Masculino  | Sem: 8 | Rayando-Ando
  A20061782 | Juan Carlos Reyes Martínez          | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Rayando-Ando
  A20162459 | Laura Patricia Díaz Gómez           | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20031452 | Luis Miguel Cruz Ortiz              | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 4 | Rayando-Ando
  A20243754 | Luis Miguel García Díaz             | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Rayando-Ando
  A20162007 | Luis Miguel Rodríguez Ortiz         | Psicología                | Masculino  | Sem: 8 | Rayando-Ando
  A20205305 | María Elena Díaz Morales            | Ingeniería Civil          | Femenino   | Sem: 7 | Rayando-Ando
  A20112345 | María Elena Gómez Reyes             | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 2 | Rayando-Ando
  A20100386 | María Elena Gutiérrez Álvarez       | Arquitectura              | Femenino   | Sem: 5 | Rayando-Ando
  A20208343 | María Elena Ortiz García            | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20081024 | María Elena Ortiz Ramírez           | Derecho                   | Femenino   | Sem: 2 | Rayando-Ando
  A20006965 | María Elena Pérez Mendoza           | Arquitectura              | Femenino   | Sem: 10 | Rayando-Ando
  A20146027 | María Elena Rodríguez Gutiérrez     | Derecho                   | Femenino   | Sem: 4 | Rayando-Ando
  A20036380 | María Elena Ruiz Ruiz               | Derecho                   | Femenino   | Sem: 9 | Rayando-Ando
  A20121577 | Miguel Ángel Álvarez Sánchez        | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Rayando-Ando
  A20187408 | Miguel Ángel Morales Morales        | Contaduría Pública        | Masculino  | Sem: 3 | Rayando-Ando
  A20064290 | Óscar David Castillo Álvarez        | Ingeniería Industrial     | Masculino  | Sem: 8 | Rayando-Ando
  A20122284 | Óscar David Díaz Cruz               | Contaduría Pública        | Masculino  | Sem: 10 | Rayando-Ando
  A20121277 | Óscar David Ortiz Martínez          | Contaduría Pública        | Masculino  | Sem: 1 | Rayando-Ando
  A20173619 | Óscar David Ortiz Sánchez           | Arquitectura              | Masculino  | Sem: 7 | Rayando-Ando
  A20239716 | Óscar David Rivera Hernández        | Administración de Empresas | Masculino  | Sem: 10 | Rayando-Ando
  A20007167 | Patricia Isabel Castillo Cruz       | Ingeniería Mecatrónica    | Femenino   | Sem: 10 | Rayando-Ando
  A20185863 | Patricia Isabel Gómez Gómez         | Arquitectura              | Femenino   | Sem: 2 | Rayando-Ando
  A20016143 | Patricia Isabel Hernández García    | Contaduría Pública        | Femenino   | Sem: 5 | Rayando-Ando
  A20078242 | Patricia Isabel Sánchez Gómez       | Ingeniería Mecatrónica    | Femenino   | Sem: 8 | Rayando-Ando
  A20217554 | Pedro Luis García Jiménez           | Ingeniería Mecatrónica    | Masculino  | Sem: 9 | Rayando-Ando
  A20030209 | Pedro Luis Hernández López          | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 2 | Rayando-Ando
  A20127888 | Pedro Luis Martínez Mendoza         | Ingeniería Industrial     | Masculino  | Sem: 10 | Rayando-Ando
  A20125481 | Pedro Luis Morales Rivera           | Diseño Gráfico            | Masculino  | Sem: 3 | Rayando-Ando
  A20207199 | Ricardo Iván Álvarez Morales        | Ingeniería Civil          | Masculino  | Sem: 7 | Rayando-Ando
  A20086305 | Ricardo Iván López Sánchez          | Ingeniería Civil          | Masculino  | Sem: 9 | Rayando-Ando
  A20226053 | Ricardo Iván Morales Gutiérrez      | Ingeniería Mecatrónica    | Masculino  | Sem: 10 | Rayando-Ando
  A20139960 | Ricardo Iván Morales Pérez          | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Rayando-Ando
  A20234245 | Ricardo Iván Sánchez Rivera         | Ingeniería Civil          | Masculino  | Sem: 2 | Rayando-Ando
  A20086227 | Roberto Carlos Álvarez Rodríguez    | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Rayando-Ando
  A20236136 | Roberto Carlos Martínez Hernández   | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 2 | Rayando-Ando
  A20022517 | Roberto Carlos Ortiz Jiménez        | Ingeniería Mecatrónica    | Masculino  | Sem: 6 | Rayando-Ando
  A20136702 | Roberto Carlos Sánchez García       | Ingeniería Mecatrónica    | Masculino  | Sem: 5 | Rayando-Ando
  A20166123 | Rosa María Flores Reyes             | Derecho                   | Femenino   | Sem: 8 | Rayando-Ando
  A20130024 | Rosa María Gómez Ortiz              | Derecho                   | Femenino   | Sem: 8 | Rayando-Ando
  A20157271 | Rosa María Rodríguez Mendoza        | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Rayando-Ando
  A20192315 | Sofía Valentina Castillo Martínez   | Psicología                | Femenino   | Sem: 8 | Rayando-Ando
  A20082051 | Sofía Valentina Martínez Cruz       | Contaduría Pública        | Femenino   | Sem: 2 | Rayando-Ando
  A20149224 | Sofía Valentina Martínez Morales    | Psicología                | Femenino   | Sem: 10 | Rayando-Ando
  A20140649 | Sofía Valentina Ruiz García         | Diseño Gráfico            | Femenino   | Sem: 2 | Rayando-Ando
  A20032450 | Valentina Andrea Gómez Ruiz         | Psicología                | Femenino   | Sem: 6 | Rayando-Ando
  A20216127 | Valentina Andrea Reyes Reyes        | Psicología                | Femenino   | Sem: 5 | Rayando-Ando

▼ GEEK-INTROVERTIDO - 230/230 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20199035 | Ana Laura González Reyes            | Diseño Gráfico            | Femenino   | Sem: 7 | Geek-Introvertido
  A20070399 | Ana Laura Hernández García          | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Geek-Introvertido
  A20219502 | Ana Laura Rodríguez Pérez           | Ingeniería Civil          | Femenino   | Sem: 7 | Geek-Introvertido
  A20229484 | Andrea Carolina Flores Gutiérrez    | Ingeniería Civil          | Femenino   | Sem: 7 | Geek-Introvertido
  A20028482 | Andrea Carolina Gutiérrez Morales   | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 3 | Geek-Introvertido
  A20032735 | Andrea Carolina Hernández García    | Derecho                   | Femenino   | Sem: 3 | Geek-Introvertido
  A20180529 | Andrea Carolina Jiménez Álvarez     | Arquitectura              | Femenino   | Sem: 4 | Geek-Introvertido
  A20168837 | Andrea Carolina López Cruz          | Contaduría Pública        | Femenino   | Sem: 2 | Geek-Introvertido
  A20245416 | Andrea Carolina Ramírez López       | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Geek-Introvertido
  A20111015 | Andrea Carolina Reyes Díaz          | Administración de Empresas | Femenino   | Sem: 3 | Geek-Introvertido
  A20200579 | Andrea Carolina Rodríguez Pérez     | Contaduría Pública        | Femenino   | Sem: 9 | Geek-Introvertido
  A20155044 | Andrea Carolina Ruiz García         | Psicología                | Femenino   | Sem: 5 | Geek-Introvertido
  A20235191 | Andrea Carolina Torres García       | Diseño Gráfico            | Femenino   | Sem: 1 | Geek-Introvertido
  A20083894 | Arturo Ramón Cruz Rodríguez         | Ingeniería Civil          | Masculino  | Sem: 1 | Geek-Introvertido
  A20193879 | Arturo Ramón Díaz Mendoza           | Ingeniería Industrial     | Masculino  | Sem: 4 | Geek-Introvertido
  A20120603 | Arturo Ramón Ortiz Díaz             | Arquitectura              | Masculino  | Sem: 4 | Geek-Introvertido
  A20014645 | Arturo Ramón Ramírez Castillo       | Arquitectura              | Masculino  | Sem: 5 | Geek-Introvertido
  A20235297 | Carlos Alberto Ramírez Sánchez      | Ingeniería Mecatrónica    | Masculino  | Sem: 5 | Geek-Introvertido
  A20033241 | Carlos Alberto Ruiz Gutiérrez       | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 1 | Geek-Introvertido
  A20105368 | Carmen Rosa Flores Ramírez          | Derecho                   | Femenino   | Sem: 6 | Geek-Introvertido
  A20105111 | Carmen Rosa Flores Rodríguez        | Administración de Empresas | Femenino   | Sem: 8 | Geek-Introvertido
  A20093149 | Carmen Rosa López Gómez             | Derecho                   | Femenino   | Sem: 2 | Geek-Introvertido
  A20194742 | Carmen Rosa Mendoza García          | Ingeniería Industrial     | Femenino   | Sem: 4 | Geek-Introvertido
  A20041437 | Carmen Rosa Morales Díaz            | Derecho                   | Femenino   | Sem: 2 | Geek-Introvertido
  A20053524 | Carmen Rosa Morales Gutiérrez       | Psicología                | Femenino   | Sem: 1 | Geek-Introvertido
  A20175935 | Carmen Rosa Morales Ruiz            | Ingeniería Mecatrónica    | Femenino   | Sem: 1 | Geek-Introvertido
  A20207333 | Carmen Rosa Torres Gutiérrez        | Ingeniería Civil          | Femenino   | Sem: 5 | Geek-Introvertido
  A20099484 | Carolina Daniela Cruz Castillo      | Contaduría Pública        | Femenino   | Sem: 9 | Geek-Introvertido
  A20094090 | Carolina Daniela Cruz Hernández     | Arquitectura              | Femenino   | Sem: 3 | Geek-Introvertido
  A20115799 | Carolina Daniela Cruz Torres        | Derecho                   | Femenino   | Sem: 7 | Geek-Introvertido
  A20120786 | Carolina Daniela Gutiérrez Hernández | Contaduría Pública        | Femenino   | Sem: 4 | Geek-Introvertido
  A20084674 | Carolina Daniela Morales Cruz       | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Geek-Introvertido
  A20096717 | Carolina Daniela Reyes Ramírez      | Diseño Gráfico            | Femenino   | Sem: 6 | Geek-Introvertido
  A20193866 | Carolina Daniela Rodríguez Mendoza  | Administración de Empresas | Femenino   | Sem: 5 | Geek-Introvertido
  A20013332 | Carolina Daniela Sánchez Mendoza    | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 6 | Geek-Introvertido
  A20024273 | Carolina Daniela Torres Cruz        | Ingeniería Industrial     | Femenino   | Sem: 2 | Geek-Introvertido
  A20238986 | Daniel Alejandro Cruz Reyes         | Ingeniería Mecatrónica    | Masculino  | Sem: 3 | Geek-Introvertido
  A20190328 | Daniel Alejandro Cruz Sánchez       | Diseño Gráfico            | Masculino  | Sem: 2 | Geek-Introvertido
  A20060099 | Daniel Alejandro Hernández Álvarez  | Diseño Gráfico            | Masculino  | Sem: 10 | Geek-Introvertido
  A20177509 | Daniel Alejandro Hernández Díaz     | Ingeniería Civil          | Masculino  | Sem: 5 | Geek-Introvertido
  A20020194 | Daniel Alejandro Jiménez González   | Administración de Empresas | Masculino  | Sem: 5 | Geek-Introvertido
  A20132886 | Daniel Alejandro Mendoza Torres     | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 1 | Geek-Introvertido
  A20074462 | Daniel Alejandro Morales Martínez   | Arquitectura              | Masculino  | Sem: 5 | Geek-Introvertido
  A20172545 | Daniel Alejandro Reyes Hernández    | Administración de Empresas | Masculino  | Sem: 6 | Geek-Introvertido
  A20023050 | Daniel Alejandro Rodríguez Pérez    | Derecho                   | Masculino  | Sem: 2 | Geek-Introvertido
  A20123213 | Daniel Alejandro Torres García      | Derecho                   | Masculino  | Sem: 8 | Geek-Introvertido
  A20188880 | Daniel Alejandro Torres Ramírez     | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Geek-Introvertido
  A20208213 | Daniela Gabriela Cruz González      | Administración de Empresas | Femenino   | Sem: 5 | Geek-Introvertido
  A20018840 | Daniela Gabriela Díaz Jiménez       | Arquitectura              | Femenino   | Sem: 7 | Geek-Introvertido
  A20179935 | Daniela Gabriela Díaz Martínez      | Psicología                | Femenino   | Sem: 1 | Geek-Introvertido
  A20058921 | Daniela Gabriela Flores Ruiz        | Ingeniería Mecatrónica    | Femenino   | Sem: 10 | Geek-Introvertido
  A20178208 | Daniela Gabriela Flores Torres      | Ingeniería Mecatrónica    | Femenino   | Sem: 4 | Geek-Introvertido
  A20151726 | Daniela Gabriela Gutiérrez Díaz     | Arquitectura              | Femenino   | Sem: 5 | Geek-Introvertido
  A20191579 | Daniela Gabriela Pérez Reyes        | Ingeniería Industrial     | Femenino   | Sem: 10 | Geek-Introvertido
  A20004431 | Daniela Gabriela Ramírez Sánchez    | Arquitectura              | Femenino   | Sem: 7 | Geek-Introvertido
  A20093241 | Daniela Gabriela Reyes García       | Derecho                   | Femenino   | Sem: 6 | Geek-Introvertido
  A20106707 | Daniela Gabriela Rodríguez Rivera   | Ingeniería Civil          | Femenino   | Sem: 5 | Geek-Introvertido
  A20199524 | Daniela Gabriela Rodríguez Rodríguez | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 9 | Geek-Introvertido
  A20041180 | Daniela Gabriela Ruiz Mendoza       | Administración de Empresas | Femenino   | Sem: 1 | Geek-Introvertido
  A20239352 | Daniela Gabriela Torres Hernández   | Ingeniería Civil          | Femenino   | Sem: 10 | Geek-Introvertido
  A20010926 | Eduardo Manuel Castillo Ramírez     | Administración de Empresas | Masculino  | Sem: 8 | Geek-Introvertido
  A20239738 | Eduardo Manuel Díaz Rodríguez       | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Geek-Introvertido
  A20028706 | Eduardo Manuel Reyes Gutiérrez      | Ingeniería Industrial     | Masculino  | Sem: 6 | Geek-Introvertido
  A20161546 | Eduardo Manuel Rivera Gómez         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 5 | Geek-Introvertido
  A20158360 | Eduardo Manuel Rivera Pérez         | Administración de Empresas | Masculino  | Sem: 7 | Geek-Introvertido
  A20207001 | Eduardo Manuel Sánchez Martínez     | Psicología                | Masculino  | Sem: 8 | Geek-Introvertido
  A20213026 | Elena Sofía Álvarez Cruz            | Ingeniería Industrial     | Femenino   | Sem: 4 | Geek-Introvertido
  A20157413 | Elena Sofía Castillo Hernández      | Ingeniería Mecatrónica    | Femenino   | Sem: 9 | Geek-Introvertido
  A20172578 | Elena Sofía Flores Ruiz             | Diseño Gráfico            | Femenino   | Sem: 1 | Geek-Introvertido
  A20107561 | Elena Sofía Gómez López             | Derecho                   | Femenino   | Sem: 8 | Geek-Introvertido
  A20136073 | Elena Sofía Gutiérrez González      | Arquitectura              | Femenino   | Sem: 2 | Geek-Introvertido
  A20075992 | Elena Sofía López Hernández         | Arquitectura              | Femenino   | Sem: 8 | Geek-Introvertido
  A20134532 | Elena Sofía Martínez Pérez          | Ingeniería Civil          | Femenino   | Sem: 5 | Geek-Introvertido
  A20011411 | Elena Sofía Mendoza Reyes           | Administración de Empresas | Femenino   | Sem: 1 | Geek-Introvertido
  A20210005 | Elena Sofía Ortiz Jiménez           | Contaduría Pública        | Femenino   | Sem: 3 | Geek-Introvertido
  A20224756 | Elena Sofía Pérez Martínez          | Ingeniería Industrial     | Femenino   | Sem: 7 | Geek-Introvertido
  A20141583 | Elena Sofía Reyes Torres            | Administración de Empresas | Femenino   | Sem: 4 | Geek-Introvertido
  A20094074 | Fernanda Alejandra García Ramírez   | Administración de Empresas | Femenino   | Sem: 1 | Geek-Introvertido
  A20067323 | Fernanda Alejandra Gómez García     | Ingeniería Industrial     | Femenino   | Sem: 10 | Geek-Introvertido
  A20106466 | Fernanda Alejandra Gómez Mendoza    | Arquitectura              | Femenino   | Sem: 9 | Geek-Introvertido
  A20001704 | Fernanda Alejandra Gutiérrez Sánchez | Ingeniería Industrial     | Femenino   | Sem: 5 | Geek-Introvertido
  A20010056 | Fernanda Alejandra Mendoza Ortiz    | Arquitectura              | Femenino   | Sem: 4 | Geek-Introvertido
  A20058774 | Fernanda Alejandra Morales Díaz     | Ingeniería Industrial     | Femenino   | Sem: 4 | Geek-Introvertido
  A20050577 | Fernanda Alejandra Ramírez González | Contaduría Pública        | Femenino   | Sem: 6 | Geek-Introvertido
  A20092040 | Fernanda Alejandra Reyes Castillo   | Contaduría Pública        | Femenino   | Sem: 8 | Geek-Introvertido
  A20159641 | Fernanda Alejandra Rodríguez Gómez  | Derecho                   | Femenino   | Sem: 6 | Geek-Introvertido
  A20163458 | Fernanda Alejandra Torres Martínez  | Arquitectura              | Femenino   | Sem: 5 | Geek-Introvertido
  A20113309 | Fernanda Alejandra Torres Ortiz     | Diseño Gráfico            | Femenino   | Sem: 9 | Geek-Introvertido
  A20005457 | Fernando José Álvarez Jiménez       | Arquitectura              | Masculino  | Sem: 8 | Geek-Introvertido
  A20003764 | Fernando José Álvarez Ruiz          | Arquitectura              | Masculino  | Sem: 7 | Geek-Introvertido
  A20232877 | Fernando José Cruz Díaz             | Ingeniería Industrial     | Masculino  | Sem: 6 | Geek-Introvertido
  A20049574 | Fernando José Díaz Jiménez          | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Geek-Introvertido
  A20038056 | Fernando José García Hernández      | Derecho                   | Masculino  | Sem: 4 | Geek-Introvertido
  A20080713 | Fernando José Hernández García      | Ingeniería Industrial     | Masculino  | Sem: 7 | Geek-Introvertido
  A20009315 | Fernando José Pérez Ruiz            | Diseño Gráfico            | Masculino  | Sem: 9 | Geek-Introvertido
  A20162005 | Francisco Javier García Reyes       | Ingeniería Civil          | Masculino  | Sem: 2 | Geek-Introvertido
  A20013023 | Francisco Javier Gutiérrez Mendoza  | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20229990 | Francisco Javier Martínez López     | Contaduría Pública        | Masculino  | Sem: 2 | Geek-Introvertido
  A20103560 | Francisco Javier Mendoza Gómez      | Psicología                | Masculino  | Sem: 6 | Geek-Introvertido
  A20170121 | Francisco Javier Pérez Ortiz        | Arquitectura              | Masculino  | Sem: 3 | Geek-Introvertido
  A20193365 | Francisco Javier Rivera Morales     | Diseño Gráfico            | Masculino  | Sem: 10 | Geek-Introvertido
  A20153931 | Gabriela Fernanda Álvarez Castillo  | Derecho                   | Femenino   | Sem: 10 | Geek-Introvertido
  A20193353 | Gabriela Fernanda Álvarez González  | Ingeniería Industrial     | Femenino   | Sem: 2 | Geek-Introvertido
  A20058891 | Gabriela Fernanda Álvarez Rivera    | Psicología                | Femenino   | Sem: 3 | Geek-Introvertido
  A20060734 | Gabriela Fernanda Cruz Martínez     | Arquitectura              | Femenino   | Sem: 5 | Geek-Introvertido
  A20036302 | Gabriela Fernanda Díaz Díaz         | Diseño Gráfico            | Femenino   | Sem: 2 | Geek-Introvertido
  A20229096 | Gabriela Fernanda Gutiérrez Gutiérrez | Arquitectura              | Femenino   | Sem: 4 | Geek-Introvertido
  A20183719 | Gabriela Fernanda Jiménez Álvarez   | Contaduría Pública        | Femenino   | Sem: 5 | Geek-Introvertido
